postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2164,101,40,110,155,396,189,444,351,481,419,358,317,599,353,234,140,104,67,52,32,3
2165,229,93,203,251,595,401,847,749,820,726,558,520,832,556,338,206,119,69,84,51,4
2166,308,113,353,389,760,546,991,845,990,865,702,631,980,660,429,282,142,92,96,49,12
2167,31,9,46,57,144,88,130,168,214,217,197,188,422,274,167,125,56,36,43,17,0
2168,183,80,274,317,655,454,885,787,956,885,753,640,1125,733,442,272,181,136,92,57,15
2170,381,154,463,662,1449,874,1676,1573,1957,1785,1543,1487,2716,1882,1279,857,489,377,347,198,38
2171,96,39,82,100,195,213,343,423,593,589,606,577,1333,992,691,494,271,238,212,117,18
2172,11,3,3,8,8,7,21,19,25,38,39,47,97,79,67,65,52,53,32,29,6
2173,24,10,27,33,92,63,140,154,230,276,282,327,628,477,332,242,125,117,89,48,10
2174,8,0,0,3,12,10,24,21,20,34,30,42,92,66,57,39,22,12,8,10,4
2175,13,3,13,13,25,13,20,25,20,51,24,25,42,34,24,20,18,14,17,16,6
2176,234,99,207,259,661,401,1037,802,988,911,774,798,1437,1022,644,495,285,235,225,145,35
2177,74,42,112,120,241,185,323,293,353,318,309,251,391,307,217,130,79,58,52,34,9
2178,17,11,13,15,42,24,49,55,72,72,47,61,114,84,59,46,40,25,36,27,9
2179,39,13,33,35,98,75,114,111,141,131,93,110,195,128,90,65,31,30,34,28,4
2190,138,67,213,231,457,311,559,451,554,530,379,327,544,321,259,174,111,84,88,38,14
2191,41,22,40,63,129,49,129,128,141,147,112,105,218,143,74,54,45,48,33,26,0
2192,52,22,63,73,170,86,205,153,194,154,155,128,263,174,100,67,37,37,36,19,0
2193,45,24,51,50,188,101,218,154,210,210,196,175,357,278,210,197,112,122,120,81,11
2194,60,22,61,53,143,120,195,186,224,183,155,165,286,185,148,81,41,31,34,34,4
2195,56,34,46,57,151,112,199,175,205,194,140,127,219,148,92,68,42,23,23,11,3
2196,150,64,183,198,485,320,520,495,601,559,414,414,701,466,276,216,139,92,78,51,7
2197,57,15,49,76,178,107,185,157,225,174,119,139,260,151,80,70,42,33,28,26,7
2198,44,20,46,49,133,92,189,192,216,171,139,135,267,192,138,79,69,51,40,9,10
2199,78,23,103,129,253,223,329,322,371,321,265,268,425,265,154,119,71,64,33,26,8
2200,145,58,175,211,473,320,552,500,610,533,495,411,671,492,318,233,126,94,117,67,9
2203,25,15,45,32,111,59,132,93,103,104,96,98,262,188,149,164,101,100,114,107,7
2204,89,35,89,100,251,121,255,196,295,258,238,235,524,412,353,348,180,221,200,170,8
2205,42,21,43,54,125,90,133,125,158,139,133,133,284,185,160,110,57,55,67,48,9
2206,113,44,86,111,327,133,392,286,347,356,264,280,620,455,347,292,184,186,159,136,21
2207,140,63,130,173,435,257,474,409,491,475,417,437,858,535,432,344,192,170,154,130,11
2208,77,33,88,99,231,117,251,210,246,253,201,172,391,300,211,170,97,95,80,43,15
2209,78,45,86,113,259,144,262,247,306,273,241,243,453,309,245,163,97,87,82,46,10
2210,138,47,145,244,489,302,515,482,575,497,450,419,815,637,460,355,199,217,187,130,23
2211,76,41,101,144,324,194,360,272,371,345,302,285,648,396,285,196,120,112,121,45,14
2212,61,35,92,148,283,179,323,268,293,315,280,274,576,390,249,208,104,97,95,55,12
2213,89,46,110,171,398,227,426,343,460,430,370,383,819,599,449,316,201,185,166,107,17
2214,20,7,12,19,54,38,87,76,81,81,76,94,169,130,88,60,19,21,24,10,3
2216,91,40,73,84,255,124,316,210,267,271,216,200,401,263,227,195,126,88,100,74,9
2217,90,39,83,105,270,175,313,254,296,279,237,233,499,374,260,251,127,118,125,103,17
2218,51,24,39,46,103,71,154,140,159,137,118,124,276,191,130,115,66,60,74,42,8
2219,62,19,56,79,227,159,226,196,242,214,198,180,391,240,194,179,113,84,92,95,12
2220,122,52,90,88,227,145,282,260,324,318,245,230,471,346,240,197,124,115,119,95,25
2221,81,28,74,82,191,124,223,215,295,261,191,243,488,345,254,273,159,155,199,189,37
2222,49,17,25,56,141,79,124,119,133,166,121,128,273,191,141,125,84,86,80,55,5
