postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
3292,0,0,3,0,11,8,3,7,12,3,7,3,8,3,0,0,0,0,0,0,0
3293,0,0,0,6,9,3,12,11,10,15,7,0,12,4,4,0,0,0,0,0,0
3294,3,3,13,11,32,17,34,26,32,25,16,15,30,17,13,3,0,3,0,0,0
3300,39,29,100,154,390,249,394,352,371,313,274,223,304,165,87,49,26,23,21,15,0
3301,8,3,8,11,27,29,18,46,36,33,28,21,49,32,19,10,4,3,3,8,0
3302,0,5,4,5,7,5,10,12,11,18,9,9,9,10,3,0,0,4,0,0,0
3303,0,0,5,3,7,3,9,22,10,9,10,12,9,3,0,4,0,0,0,0,0
3304,12,19,41,45,105,63,99,74,93,72,59,60,87,42,27,14,7,9,0,4,0
3305,55,34,125,160,394,247,433,386,432,369,253,237,432,256,126,101,38,39,21,16,3
3309,0,0,0,3,12,3,3,4,3,5,4,4,0,0,0,0,0,0,0,0,0
3310,0,0,3,13,16,8,13,6,14,9,0,3,10,0,0,0,0,0,0,0,0
3311,8,3,16,38,118,57,88,65,55,43,34,28,37,18,13,0,6,8,3,0,0
3312,8,5,12,10,41,23,45,23,41,27,20,16,23,17,4,12,6,0,3,3,0
3314,4,3,10,3,15,5,21,20,22,18,7,8,12,9,5,6,0,0,0,5,0
3315,9,10,26,17,63,53,65,59,62,48,37,23,32,18,12,0,0,4,5,0,0
3317,0,0,3,0,0,3,9,11,9,9,5,0,7,0,0,0,0,0,0,0,0
3318,0,0,24,19,58,26,56,52,48,49,20,24,34,20,10,6,4,0,0,4,0
3319,0,0,6,3,10,3,14,9,22,17,8,10,8,3,7,4,0,0,0,4,0
3321,4,0,14,10,25,10,21,33,47,46,33,40,61,52,17,22,12,11,7,0,0
3322,0,0,3,3,12,4,14,5,6,3,5,4,5,0,0,0,0,0,0,0,0
3323,0,0,0,3,4,0,0,0,8,5,0,0,0,0,4,0,0,0,0,0,0
3324,5,5,5,9,28,21,19,11,10,20,14,7,9,8,0,0,4,0,0,0,0
3325,5,6,9,5,34,13,22,24,18,7,16,6,14,4,0,0,0,3,0,0,0
3328,4,0,11,9,22,18,37,38,43,56,40,33,71,61,29,14,14,10,0,0,0
3329,4,0,8,0,4,8,9,10,15,13,3,3,9,3,4,0,0,0,0,0,0
3330,0,7,0,7,11,3,9,6,6,7,3,4,7,0,0,0,0,0,0,0,0
3331,13,11,25,32,77,65,106,96,145,177,154,142,267,177,84,44,36,18,14,10,0
3332,0,0,8,4,16,7,24,21,30,26,23,20,40,19,8,8,4,0,0,0,0
3333,4,0,12,3,19,16,28,20,25,20,17,19,34,18,6,6,3,3,0,0,0
3334,3,0,9,0,15,17,16,18,15,13,17,4,18,12,7,0,0,0,0,3,0
3335,23,13,18,7,55,32,62,79,143,164,133,118,290,186,98,48,21,19,12,6,0
3337,186,79,245,307,711,555,965,937,1216,1109,852,765,1316,703,350,222,88,78,63,34,10
3338,100,50,166,187,464,389,603,570,709,673,526,528,872,477,276,168,73,55,43,27,4
3340,95,46,126,171,433,312,550,476,620,574,480,416,856,527,325,217,124,89,65,44,11
3341,13,8,3,9,27,20,40,33,31,43,34,31,58,46,29,17,14,8,13,4,0
3342,15,15,40,42,82,48,116,68,98,97,83,77,128,62,45,31,16,16,9,3,0
3345,10,3,6,13,19,11,29,31,37,31,20,18,48,26,24,12,6,0,5,4,0
3350,273,136,492,683,1637,1168,1791,1656,1820,1736,1386,1250,2140,1249,742,553,268,264,206,159,15
3351,33,24,58,69,198,128,253,219,263,228,177,167,291,168,91,60,25,21,13,11,5
3352,75,28,75,125,297,204,353,337,447,396,360,317,637,354,185,128,63,56,50,38,8
3355,62,28,138,240,602,327,571,474,517,372,244,199,327,143,67,61,26,21,18,16,4
3356,58,46,166,276,689,427,703,622,618,521,412,318,463,223,95,61,20,14,10,3,0
3357,14,9,17,24,61,53,91,86,81,77,76,77,143,96,74,48,29,18,13,15,0
3360,3,4,11,15,31,18,35,30,38,23,16,19,21,4,0,7,0,0,0,0,0
3361,0,9,11,11,37,11,30,15,27,9,5,10,14,9,0,0,0,0,0,0,0
3363,10,6,39,33,122,58,96,106,95,74,48,49,78,46,20,17,0,6,5,6,0
3364,6,0,30,26,60,35,74,72,72,66,47,36,60,40,18,13,4,10,9,0,0
3370,15,9,21,31,83,41,94,64,69,55,28,25,53,24,8,10,0,0,0,4,0
3371,3,5,20,14,53,17,65,34,29,22,19,11,25,14,6,0,0,0,0,0,0
3373,22,9,21,46,105,57,113,68,97,54,52,45,40,29,13,5,6,6,5,0,0
3374,3,0,5,9,13,9,15,15,16,5,10,10,20,10,4,0,0,0,0,0,0
3375,3,0,0,0,3,5,12,4,3,3,3,4,5,7,0,0,0,0,0,0,0
3377,32,22,85,120,320,215,356,298,331,270,178,153,255,148,71,61,24,10,16,11,0
3378,0,0,0,0,0,3,3,4,7,6,0,4,5,4,0,0,0,0,4,0,0
3379,0,3,10,8,26,16,30,31,25,25,10,17,21,6,4,15,0,3,0,4,0
3380,22,17,63,90,254,157,239,210,184,198,127,104,186,79,47,26,20,18,3,8,0
3381,11,5,11,15,20,28,37,45,48,35,15,26,37,24,13,5,5,5,0,3,0
3384,11,5,10,11,20,20,21,14,17,12,16,7,18,8,4,0,0,0,0,0,0
3385,0,0,3,4,23,9,18,18,21,14,13,6,18,10,4,5,0,3,3,0,0
3387,4,0,9,6,14,0,16,14,16,12,5,6,4,3,0,0,0,0,0,0,0
3388,0,5,9,4,24,18,27,19,19,10,14,13,13,10,3,3,0,0,0,0,0
3390,8,4,11,16,43,21,45,40,40,20,20,15,29,16,5,4,3,0,0,0,0
3391,0,0,0,0,8,0,6,10,7,6,4,5,4,0,6,0,0,0,0,0,0
3392,3,0,11,15,44,10,29,15,17,19,6,7,14,0,5,4,0,3,0,0,0
3393,15,16,27,51,126,59,108,88,93,74,48,46,74,39,22,12,5,3,0,0,0
3395,0,0,3,10,13,10,19,18,18,15,5,6,6,3,0,3,0,0,0,0,0
3396,6,0,11,12,35,21,24,22,26,25,19,15,22,7,12,5,0,0,0,0,0
3400,56,41,108,229,514,347,477,502,521,477,358,334,473,232,124,78,35,52,14,27,5
3401,29,11,24,19,85,64,101,123,140,132,94,85,157,103,51,23,16,19,8,7,3
3407,3,0,5,4,17,6,9,13,15,7,10,8,12,5,3,3,3,0,0,0,0
3409,6,5,13,9,38,20,28,35,49,31,17,14,30,16,6,3,0,7,0,4,0
3412,0,0,3,8,17,6,21,8,10,9,3,9,6,0,0,0,0,0,0,0,0
3413,0,0,0,3,5,0,9,4,11,7,6,3,9,0,3,3,0,0,0,0,0
3414,8,7,20,43,91,39,70,65,65,63,34,30,41,31,15,9,0,0,0,5,0
3415,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3418,13,11,22,36,104,58,117,92,98,85,45,72,91,40,22,13,10,0,0,8,0
3419,8,4,6,14,38,15,37,27,29,22,18,16,29,11,9,4,5,4,0,0,0
3420,6,0,0,0,0,10,13,9,8,16,0,4,13,6,4,0,0,0,0,0,0
3423,4,0,8,18,36,13,31,8,18,7,3,5,8,11,0,0,0,0,0,0,0
3424,7,7,15,17,46,15,32,27,26,23,16,16,22,3,4,4,0,7,0,0,0
3427,10,9,10,19,50,42,70,64,98,94,76,59,132,54,36,22,15,12,4,4,0
3428,5,0,0,0,9,4,8,14,14,12,14,12,34,16,5,9,0,6,0,0,0
3429,133,80,149,207,548,404,704,691,984,936,803,784,1518,983,589,402,238,157,157,80,11
3430,0,0,0,0,7,5,3,8,14,5,5,3,9,0,4,3,0,4,4,0,0
3431,19,5,20,28,45,35,70,77,82,99,83,84,154,120,75,73,34,29,20,14,0
3432,0,0,3,0,0,0,8,3,0,4,0,0,12,0,4,5,6,0,0,0,0
3433,0,0,0,0,0,0,3,0,3,7,6,9,7,6,0,0,0,4,0,0,0
3434,19,10,22,28,86,43,90,113,125,127,99,103,205,137,91,55,34,21,21,11,0
3435,7,8,18,26,64,45,78,57,79,77,69,58,134,48,37,33,16,10,12,8,0
3437,40,22,45,64,136,106,162,174,248,207,222,195,404,302,240,176,94,85,82,61,3
3438,6,6,13,10,39,18,31,42,60,52,58,46,89,69,38,49,21,27,17,16,3
3440,7,7,9,15,28,12,23,45,41,43,38,41,83,45,27,45,29,18,17,8,0
3441,6,5,8,0,10,10,31,28,25,25,27,29,48,36,31,42,14,17,18,21,3
3442,31,14,42,52,135,83,157,138,192,187,164,134,288,206,117,137,66,70,40,40,3
3444,51,33,77,120,257,152,270,233,309,248,204,174,340,188,106,90,38,50,32,28,3
3446,4,5,3,7,39,24,23,28,40,35,27,18,42,25,6,6,0,3,3,0,0
3447,0,3,3,5,14,16,18,17,13,12,9,17,16,6,9,3,0,0,0,0,0
3448,3,0,3,10,17,18,29,42,46,24,21,16,19,22,9,11,0,3,6,0,0
3450,16,28,79,141,356,227,301,247,240,203,175,124,198,89,48,50,17,17,14,11,4
3451,24,16,41,63,179,106,183,141,186,153,115,108,175,103,54,13,16,17,6,9,0
3453,3,4,15,15,50,25,49,49,57,53,44,43,50,42,20,16,7,10,0,10,0
3458,8,7,14,24,72,41,68,66,63,53,49,35,57,45,22,21,13,9,3,9,0
3460,26,11,26,50,130,66,99,118,113,91,57,44,70,35,16,29,10,8,5,3,0
3461,31,15,46,50,148,90,157,141,175,134,96,76,129,60,37,34,15,12,10,3,0
3462,4,5,25,16,53,17,55,44,52,40,23,23,22,10,7,7,7,0,0,3,0
3463,11,17,31,56,132,73,105,91,110,80,49,34,80,22,23,8,7,0,3,5,0
3464,9,4,16,10,55,28,33,35,49,35,25,20,28,14,7,4,3,0,0,0,0
3465,50,31,140,232,555,302,518,391,368,280,173,151,206,92,39,23,9,8,3,8,5
3467,5,8,15,26,86,21,76,41,43,27,24,21,21,11,3,5,0,0,0,0,0
3468,8,5,0,9,11,6,10,10,10,8,7,3,9,4,0,0,0,0,0,0,0
3469,0,0,7,5,18,7,19,6,6,12,11,3,10,0,0,0,0,0,0,0,0
3472,11,16,16,44,107,49,71,64,42,34,16,12,24,12,3,0,4,0,3,0,0
3475,0,3,8,10,32,12,30,11,14,3,3,4,10,4,0,0,0,0,0,0,0
3477,8,5,19,9,36,20,39,30,24,23,11,24,14,12,8,4,0,4,0,0,0
3478,8,10,33,51,162,55,127,113,110,81,38,56,45,25,19,9,0,0,0,0,0
3480,7,8,23,24,87,40,73,62,59,47,46,39,51,15,4,4,0,4,0,3,0
3482,3,0,3,6,13,3,4,7,4,8,3,0,3,0,0,0,0,0,0,0,0
3483,13,3,7,11,37,21,31,22,27,31,13,17,22,14,3,3,0,4,0,0,0
3485,0,3,3,6,14,4,17,12,13,18,0,5,12,0,0,0,0,0,0,0,0
3487,0,0,0,0,0,0,3,0,4,5,4,0,3,0,0,3,0,0,0,0,0
3488,0,0,3,0,7,0,3,3,6,0,4,5,0,0,0,0,0,3,0,0,0
3489,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0
3490,16,3,22,22,55,27,57,46,48,33,27,16,42,11,8,6,0,7,3,0,0
3491,0,0,4,0,8,3,3,7,4,0,0,0,0,0,0,0,0,4,0,0,0
3494,3,5,3,6,12,11,10,28,25,14,15,8,17,9,3,6,0,0,0,0,0
3496,23,24,48,69,190,98,191,178,197,186,121,117,205,81,32,33,8,13,7,3,4
3498,18,14,34,46,105,77,168,137,183,137,95,100,190,96,58,31,13,21,13,18,3
3500,139,91,279,446,971,655,1148,960,1026,941,682,609,943,527,275,179,82,65,38,42,5
3501,5,4,9,9,38,16,29,46,42,48,41,47,70,57,25,20,14,6,4,6,0
3505,23,21,38,39,142,82,186,133,145,111,102,108,133,73,32,29,8,4,7,4,0
3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3507,0,0,0,4,9,0,5,14,8,8,4,3,5,0,0,0,0,0,0,0,0
3509,0,0,5,3,11,3,8,8,8,10,5,6,5,13,5,0,0,0,0,0,0
3512,0,0,3,3,12,9,16,13,16,16,9,10,13,4,0,3,0,0,0,0,0
3515,3,8,7,6,22,19,39,54,62,56,54,50,74,50,20,10,3,7,3,5,0
3516,0,4,4,11,28,10,23,15,25,25,20,17,22,10,4,4,0,0,0,0,3
3517,4,7,26,27,77,21,60,46,48,43,24,18,25,13,3,4,6,0,4,3,0
3518,12,3,17,22,82,36,61,52,42,25,26,17,22,11,3,0,0,0,0,0,0
3520,0,0,5,8,14,5,16,3,3,7,0,0,0,0,0,0,0,0,0,0,0
3521,4,3,5,8,14,5,17,15,20,17,8,18,24,18,7,4,0,3,6,0,0
3522,0,4,6,0,4,4,14,7,18,13,6,3,6,4,7,0,0,3,0,0,0
3523,25,18,46,75,184,87,193,135,123,109,68,51,90,41,19,19,7,4,5,5,0
3525,20,7,21,29,82,31,64,55,51,31,24,21,29,14,4,3,0,0,0,0,0
3527,3,3,16,8,47,14,33,43,27,20,18,3,19,10,3,3,0,0,0,0,0
3529,0,0,0,0,4,6,3,4,4,0,0,0,3,0,0,0,5,0,0,0,0
3530,4,0,0,5,8,4,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0
3531,0,0,0,0,4,4,7,8,8,4,0,0,4,0,0,0,0,0,0,0,0
3533,5,0,10,11,36,19,44,28,13,12,20,12,21,9,4,3,0,4,0,4,0
3537,7,6,6,10,42,26,39,34,37,32,15,24,27,4,7,7,6,0,0,3,0
3540,3,5,0,11,20,13,14,7,8,8,3,5,3,3,0,0,0,0,0,0,0
3542,0,4,0,3,9,0,6,4,6,4,0,3,6,0,0,0,0,0,0,0,0
3544,0,0,0,5,7,8,14,9,3,6,0,4,0,0,4,3,0,0,0,0,0
3546,0,0,3,8,13,4,19,6,13,6,9,17,11,8,0,0,0,4,0,6,0
3549,19,10,20,36,81,48,98,86,116,89,62,54,92,30,20,23,11,9,10,8,0
3550,164,143,435,627,1339,1020,1422,1383,1528,1272,921,768,1292,768,435,354,144,119,142,91,11
3551,59,62,95,141,411,280,615,586,786,845,689,640,1335,820,487,302,138,111,82,64,10
3555,79,44,143,296,657,457,787,705,777,653,480,439,627,331,150,90,41,22,22,16,0
3556,60,37,128,199,515,319,539,492,469,423,286,266,357,164,81,58,9,10,9,15,0
3557,0,3,4,12,15,12,21,20,22,32,16,27,29,15,10,9,0,0,0,0,0
3558,5,0,4,10,56,21,39,34,31,31,19,13,19,5,11,5,5,0,0,0,0
3559,0,3,8,12,16,12,18,23,12,14,8,18,9,9,4,0,3,0,0,0,0
3561,28,13,33,61,153,103,161,123,159,126,83,103,143,77,29,15,15,12,6,6,3
3562,3,0,0,0,3,0,3,4,14,13,0,3,10,6,5,0,0,0,0,0,0
3563,0,11,5,9,24,13,39,29,27,18,19,18,30,11,6,7,0,0,0,3,0
3564,79,26,134,182,487,301,543,447,554,484,352,339,509,306,174,94,34,51,37,30,3
3565,0,0,3,0,0,0,5,0,5,0,0,7,7,0,0,0,0,0,0,0,0
3566,3,0,3,7,13,13,23,20,18,22,11,9,14,6,0,0,0,0,4,0,0
3567,0,6,8,6,19,11,36,23,25,29,12,19,14,10,0,0,0,0,0,0,0
3568,21,10,39,46,127,66,110,97,111,97,56,70,84,34,21,10,5,6,3,10,0
3570,3,0,5,13,19,11,33,23,22,23,25,17,15,9,7,0,0,0,0,0,0
3571,0,5,3,4,12,8,8,13,10,7,6,11,0,3,6,0,0,0,0,0,0
3572,0,0,3,0,3,5,4,4,9,3,4,5,3,0,0,0,0,0,0,0,0
3573,0,4,5,8,10,6,12,11,14,10,6,9,11,0,6,0,0,0,0,0,0
3575,16,0,5,15,30,18,26,29,42,24,13,11,19,3,3,6,0,0,0,6,0
3576,0,0,0,0,4,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0
3579,30,28,54,88,209,150,224,193,212,154,83,109,138,62,22,23,13,6,3,3,4
3580,15,6,11,22,62,22,55,39,39,28,26,13,26,8,5,7,0,0,0,0,0
3581,0,0,0,0,8,3,7,0,5,6,3,0,3,3,5,0,0,0,0,5,0
3583,0,0,3,0,3,3,9,5,10,3,0,3,7,0,3,3,0,0,0,0,0
3584,8,0,10,12,28,13,46,37,28,41,19,24,30,12,4,3,5,5,0,0,0
3585,25,30,80,133,332,216,349,265,363,293,232,211,333,188,90,65,21,23,11,18,8
3586,0,0,6,5,12,7,9,15,22,30,9,10,24,23,5,7,0,0,0,0,0
3588,4,0,3,3,10,11,16,10,17,8,4,11,5,6,0,0,0,0,4,3,0
3589,0,0,0,4,6,4,10,7,7,19,8,6,5,5,5,7,0,0,0,0,0
3590,0,4,0,3,3,0,7,18,6,7,14,4,9,3,5,0,0,0,0,0,0
3591,0,0,4,0,3,3,0,0,10,4,0,8,8,5,0,0,0,0,0,0,0
3594,6,0,7,5,25,7,11,7,18,16,9,12,16,6,3,5,3,0,0,0,0
3595,0,3,5,9,28,13,37,16,15,13,6,14,4,3,0,6,0,0,0,0,0
3596,3,0,4,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
3597,6,0,0,8,17,0,17,17,14,5,11,7,8,5,4,0,0,0,0,0,0
3599,0,0,0,0,0,5,3,0,10,4,3,3,6,0,0,0,0,0,0,0,0
3607,0,0,0,0,4,0,6,7,6,4,0,6,3,0,0,0,0,0,0,0,0
3608,20,14,26,34,99,54,100,56,87,65,61,34,75,38,21,10,7,10,4,5,0
3610,15,0,12,23,56,28,53,52,43,37,22,15,39,29,10,11,0,0,0,0,0
3612,12,5,25,24,103,30,90,64,62,47,39,31,51,9,14,6,6,0,0,3,0
3614,4,0,3,0,16,12,27,21,21,18,24,23,29,34,14,10,9,3,0,4,0
3616,24,16,32,60,174,106,146,148,166,167,117,122,195,118,49,31,15,10,11,5,5
3617,3,0,0,0,10,4,5,6,3,3,4,4,4,3,0,0,0,0,0,0,0
3618,9,0,8,12,23,9,18,28,21,24,11,19,27,10,4,5,0,0,0,0,0
3620,42,19,54,92,229,138,276,243,280,239,150,158,271,114,69,44,12,18,10,8,5
3621,13,12,14,22,60,41,85,65,72,78,42,49,70,37,16,6,3,4,0,0,3
3622,0,0,3,3,17,0,15,8,19,17,18,14,9,5,9,0,0,3,0,0,0
3623,13,4,8,11,38,16,40,33,32,30,15,12,26,7,9,5,0,0,0,4,0
3624,8,3,9,12,20,7,28,18,24,21,7,8,21,3,11,0,0,0,0,4,0
3629,46,28,71,132,280,181,355,290,337,274,217,181,262,138,59,32,17,15,3,13,3
3630,161,80,291,430,935,718,1057,979,1060,878,651,580,926,527,240,176,89,65,50,68,9
3631,27,18,49,67,179,128,234,205,321,290,258,229,472,318,178,121,59,55,53,43,7
3633,0,0,3,0,9,11,13,10,13,15,12,14,24,10,4,0,0,0,0,0,0
3634,9,0,10,13,31,30,49,51,54,46,37,38,81,27,33,13,3,9,0,3,0
3635,3,0,6,5,12,6,22,19,18,24,14,10,17,13,5,0,0,0,0,5,0
3636,29,10,51,79,189,106,196,174,183,162,113,105,148,75,42,25,8,6,3,7,0
3637,0,3,7,6,12,4,20,20,26,20,16,6,28,13,4,0,0,0,0,0,0
3638,3,14,18,25,75,31,75,69,72,61,36,43,48,28,13,18,3,5,0,8,0
3639,4,8,8,8,24,12,18,33,16,12,9,10,13,3,4,0,0,0,0,0,0
3640,4,3,7,4,18,12,22,26,35,33,27,16,32,18,9,6,0,3,0,0,0
3641,7,3,16,12,24,17,45,20,49,29,30,29,38,14,13,3,3,0,0,0,0
3646,0,0,3,6,10,11,18,17,27,19,11,21,22,6,7,4,0,0,0,0,0
3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,6,0,3,10,18,6,13,21,10,13,4,10,8,3,7,4,0,0,0,0,0
3658,38,6,62,57,147,98,174,174,211,211,135,136,224,129,67,34,22,16,9,9,0
3659,0,4,5,6,21,10,20,19,27,12,12,23,29,23,8,12,5,7,0,0,0
3660,34,22,77,114,203,155,252,217,250,206,161,129,199,121,70,52,30,12,10,10,5
3662,0,0,0,0,0,0,0,0,13,22,33,39,45,43,8,4,4,0,0,0,0
3663,0,0,0,0,6,8,3,3,4,6,4,0,3,7,0,5,0,0,0,0,0
3664,8,0,9,16,32,31,25,24,36,36,20,16,33,27,7,9,4,4,3,0,0
3665,0,0,5,4,10,8,13,14,13,15,9,7,11,3,0,0,0,0,0,0,0
3666,35,18,69,67,224,116,196,163,155,153,90,112,114,60,33,21,11,14,9,10,0
3669,10,10,19,32,50,41,55,45,50,31,25,29,32,24,11,12,0,4,4,0,0
3670,0,0,3,3,16,10,27,20,25,21,14,12,14,12,3,0,6,0,0,0,0
3672,39,45,93,174,406,256,465,364,360,286,217,182,274,149,78,46,27,24,7,14,0
3673,5,5,7,18,53,23,73,66,46,56,36,25,53,29,13,6,0,7,0,8,0
3675,6,8,14,16,27,31,51,52,71,66,42,32,71,38,15,16,7,3,0,0,0
3677,67,45,183,310,775,452,702,669,722,551,433,350,596,315,129,109,35,25,22,16,6
3678,41,17,36,48,136,82,172,180,210,179,125,145,211,132,84,58,31,21,26,23,0
3682,4,0,8,8,11,10,25,14,11,17,7,11,28,5,3,7,5,4,0,0,0
3683,8,3,15,20,48,27,46,50,61,62,41,24,69,45,13,10,7,0,0,0,0
3685,11,4,28,34,82,48,93,81,97,95,67,56,107,53,27,11,6,9,11,4,0
3687,6,4,8,11,24,16,37,31,22,34,25,28,32,17,8,12,5,0,0,5,0
3688,0,7,3,11,20,15,31,25,26,41,42,37,49,36,13,6,4,0,0,0,0
3690,107,78,278,413,927,673,1033,994,1155,1049,783,726,1295,735,369,203,84,80,55,36,11
3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3695,0,0,6,0,11,5,10,9,8,11,11,14,22,15,5,6,4,3,4,0,0
3697,0,0,11,6,23,11,17,18,19,20,13,11,19,15,0,6,0,0,0,0,0
3698,3,0,5,5,43,27,20,42,30,21,21,21,33,15,9,8,0,8,4,0,0
3699,4,7,13,20,39,34,48,35,31,44,19,13,17,5,0,15,3,0,5,4,0
3700,0,0,10,22,45,29,45,46,48,58,33,23,44,21,7,9,0,0,0,0,0
3701,12,9,9,13,51,21,32,39,41,23,23,26,23,21,3,5,0,3,0,7,4
3704,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0
3705,7,0,4,3,5,4,3,4,12,11,9,10,4,0,4,3,0,0,0,0,0
3708,0,0,0,0,0,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0
3709,0,0,3,11,14,9,8,9,16,3,4,7,8,7,7,0,0,0,0,0,0
3711,0,3,4,3,12,15,16,17,17,13,12,12,17,12,6,0,0,0,0,0,0
3712,0,0,3,6,21,12,17,10,9,4,6,6,11,3,3,4,0,0,0,3,0
3713,4,4,4,31,45,19,49,48,24,34,9,19,25,12,3,8,0,0,0,0,0
3714,19,4,25,58,140,100,129,95,132,91,71,85,101,59,28,26,10,4,3,3,3
3715,0,4,3,5,10,3,10,5,12,12,8,0,8,3,0,9,0,0,0,0,0
3717,22,19,31,46,94,53,109,69,89,90,50,42,88,42,16,17,7,10,0,7,0
3718,0,0,0,0,3,0,5,0,3,3,4,0,3,3,0,0,0,0,0,0,0
3719,3,0,5,3,11,10,15,15,18,19,11,10,9,10,0,0,3,0,0,0,0
3720,5,0,3,10,19,9,28,18,14,16,10,9,15,11,5,0,0,0,0,0,0
3722,27,20,37,55,179,125,161,148,193,144,102,111,157,99,38,29,15,12,12,8,0
3723,15,12,26,38,100,66,113,92,99,90,60,45,69,35,25,24,14,12,12,6,5
3725,4,4,0,8,22,10,18,15,16,26,12,10,21,10,5,3,0,5,0,0,0
3726,3,0,0,7,16,6,27,14,9,14,6,15,5,0,0,0,0,0,0,0,0
3727,0,0,6,5,13,3,12,7,11,0,13,3,8,4,0,0,0,0,0,0,0
3728,0,9,12,7,25,11,23,12,38,18,14,11,13,9,0,4,3,0,0,3,0
3730,35,27,68,104,301,183,317,247,261,240,179,160,246,138,67,41,19,8,13,13,3
3732,5,3,7,9,10,14,29,19,24,16,6,16,24,11,3,3,0,0,3,0,0
3733,0,0,0,3,11,11,11,8,13,5,3,3,3,9,0,0,0,0,3,0,0
3735,0,6,4,5,16,4,24,19,27,14,5,12,22,16,9,8,0,0,0,0,0
3737,19,16,42,87,177,114,183,143,152,115,99,86,120,65,48,20,5,9,9,6,0
3738,0,0,0,7,10,11,11,7,8,3,3,6,6,8,0,0,0,0,0,0,0
3739,0,0,3,6,5,8,10,8,12,7,4,11,4,9,0,0,0,0,0,0,0
3740,0,5,6,15,35,24,46,24,42,46,27,12,32,16,11,7,0,3,5,0,0
3741,12,13,22,44,98,59,127,117,99,83,63,43,90,45,18,31,12,8,9,12,0
3744,3,0,5,7,15,10,18,14,15,13,13,7,9,13,3,8,0,0,0,0,0
3746,0,0,0,6,11,10,21,15,15,12,7,3,5,9,0,6,0,0,5,0,0
3747,12,10,37,54,107,95,150,124,159,141,75,83,151,100,62,33,20,15,9,10,0
3749,5,7,8,14,48,18,52,53,58,62,43,37,71,39,25,27,14,11,10,6,3
3750,34,11,32,29,67,90,149,189,245,247,231,208,401,225,123,71,21,21,18,10,0
3751,0,0,7,7,0,3,6,3,9,8,9,6,4,10,0,0,0,0,3,5,0
3752,75,24,81,99,252,210,369,417,556,641,565,585,1088,726,365,234,119,82,89,35,7
3753,9,0,0,3,23,12,35,34,41,45,39,60,140,63,47,13,15,12,5,4,3
3754,112,50,109,125,306,352,605,716,1028,1056,1011,966,1878,1146,586,366,193,138,107,47,5
3755,0,0,4,0,9,0,3,6,11,5,4,7,15,4,8,0,0,4,3,0,0
3756,31,22,42,58,128,124,222,236,310,338,287,269,499,308,156,94,44,48,32,20,3
3757,42,15,45,72,202,103,200,162,249,223,168,198,319,236,111,84,41,27,31,24,4
3758,12,6,11,3,26,20,26,35,56,47,53,53,86,53,39,32,18,10,4,7,0
3759,5,0,5,4,12,10,16,13,25,16,14,21,43,29,15,18,9,11,14,11,0
3760,0,0,0,0,4,6,0,14,7,11,4,8,11,15,8,3,4,7,4,0,0
3761,0,3,5,8,14,11,29,19,21,28,23,28,50,32,25,16,9,8,7,4,0
3762,0,0,0,0,3,0,3,3,0,4,0,0,0,4,0,0,3,0,0,0,0
3763,6,11,16,19,35,13,36,34,52,44,44,36,63,32,16,16,4,4,0,0,0
3764,42,20,46,82,192,139,222,222,245,230,203,184,335,217,108,75,43,36,30,15,0
3765,28,13,27,37,116,88,115,133,172,128,130,139,290,202,115,69,42,41,30,16,6
3766,0,0,8,17,14,10,25,28,49,41,38,31,50,28,28,18,3,6,3,6,0
3767,6,5,4,8,27,17,33,27,42,27,25,35,59,29,21,12,17,7,5,9,0
3770,13,8,17,13,42,32,63,59,84,87,75,78,158,78,36,23,18,12,11,9,0
3775,20,12,19,31,68,46,87,92,113,104,80,83,155,104,55,51,15,24,16,23,8
3777,42,25,76,132,300,185,318,301,351,304,232,235,365,228,106,90,40,45,29,15,7
3778,0,0,3,3,4,4,9,3,5,10,3,0,9,0,3,0,0,0,0,0,0
