postcode,installations
4358,389
4359,238
4360,121
4361,440
4362,543
4363,141
4364,50
4365,107
4370,"2,778"
4371,155
4372,34
4373,173
4374,80
4375,36
4376,65
4377,120
4378,110
4380,"1,450"
4381,126
4382,111
4383,144
4384,2
4385,189
4387,185
4388,75
4390,829
4400,416
4401,849
4402,61
4403,138
4404,63
4405,"1,862"
4406,196
4407,78
4408,161
4410,246
4411,58
4412,43
4413,953
4415,300
4416,66
4417,135
4418,16
4419,140
4420,185
4421,297
4422,78
4423,24
4424,32
4425,23
4426,13
4427,77
4428,138
4454,169
4455,"1,370"
4461,9
4462,10
4465,301
4467,40
4468,73
4470,431
4472,175
4474,9
4475,3
4477,90
4478,73
4479,4
4480,103
4481,12
4482,5
4486,110
4487,436
4488,39
4489,14
4490,259
4491,17
4492,85
4493,9
4494,30
4496,47
4497,46
4498,19
4500,"7,668"
4501,959
4502,"1,608"
4503,"6,794"
4504,"3,861"
4505,"4,876"
4506,"3,689"
4507,"5,487"
4508,"2,990"
4509,"5,022"
4510,"9,239"
4511,"2,520"
4512,806
4514,"1,633"
4515,905
4516,"1,082"
4517,201
4518,"1,281"
4519,"1,907"
4520,"2,975"
4521,"1,107"
4550,960
4551,"12,453"
4552,"2,377"
4553,"1,886"
4554,363
4555,"1,568"
4556,"8,117"
4557,"2,768"
4558,"2,450"
4559,"1,321"
4560,"6,636"
4561,"1,849"
4562,"1,888"
4563,"2,420"
4564,"2,108"
4565,"3,106"
4566,"1,833"
4567,"1,824"
4568,871
4569,385
4570,"9,310"
4571,183
4572,362
4573,"4,499"
4574,290
4575,"4,954"
4580,"1,538"
4581,405
4600,206
4601,186
4605,566
4606,451
4608,168
4610,"2,153"
4611,25
4612,58
4613,132
4614,258
4615,"1,394"
4620,74
4621,324
4625,486
4626,340
4627,135
4630,301
4650,"5,676"
4655,"13,905"
4659,"1,485"
4660,"1,840"
4662,145
4670,"15,189"
4671,"1,256"
4673,130
4674,327
4676,64
4677,808
4678,269
4680,"7,885"
4694,38
4695,197
4697,27
4699,71
4700,"1,898"
4701,"5,333"
4702,"4,094"
4703,"3,730"
4704,23
4705,52
4706,8
4707,36
4709,9
4710,701
4711,388
4712,26
4713,12
4714,458
4715,832
4716,147
4717,286
4718,318
4719,175
4720,"1,748"
4721,382
4722,269
4723,174
4724,67
4725,213
4726,53
4727,45
4728,46
4730,358
4731,39
4732,32
4733,17
4735,95
4736,15
4737,"1,243"
4738,214
4739,64
4740,"10,099"
4741,"1,182"
4742,91
4743,12
4744,324
4745,111
4746,19
4750,767
4751,636
4753,653
4754,329
4756,89
4757,56
4798,134
4799,265
4800,"2,043"
4802,"1,335"
4803,1
4804,282
4805,"1,596"
4806,674
4807,"2,069"
4808,235
4809,227
4810,"2,110"
4811,"1,914"
4812,"2,223"
4814,"6,723"
4815,"3,940"
4816,"1,624"
4817,"5,220"
4818,"5,149"
4819,446
4820,"1,244"
4821,233
4822,115
4823,113
4824,184
4825,"1,831"
4828,21
4829,60
4830,64
4849,262
4850,"1,668"
4852,704
4854,697
4855,111
4856,117
4857,3
4858,216
4859,72
4860,"1,123"
4861,164
4865,"1,205"
4868,"2,650"
4869,"2,455"
4870,"7,667"
4871,"1,301"
4872,659
4873,"1,132"
4874,18
4875,124
4876,25
4877,671
4878,"1,912"
4879,"3,091"
4880,"2,080"
4881,625
4882,494
4883,849
4884,389
4885,602
4886,93
4887,284
4888,390
4890,86
4891,59
4892,35
4895,408
5000,862
5001,13
5006,621
5007,855
5008,"1,754"
5009,814
5010,847
5011,"1,591"
5012,"1,434"
5013,"1,586"
5014,"1,739"
5015,872
5016,"1,509"
5017,713
5018,"1,231"
5019,"1,498"
5020,556
5021,"1,197"
5022,"2,563"
5023,"2,059"
5024,"2,172"
5025,"1,278"
5031,"1,201"
5032,"1,681"
5033,"1,011"
5034,"1,403"
5035,754
5037,"1,387"
5038,"2,041"
5039,"1,316"
5040,392
5041,"1,826"
5042,"1,631"
5043,"2,572"
5044,"1,745"
5045,"1,844"
5046,"1,237"
5047,"1,294"
5048,"2,434"
5049,"1,808"
5050,"1,006"
5051,"2,521"
5052,995
5061,"1,384"
5062,"2,298"
5063,"1,470"
5064,"1,547"
5065,"1,432"
5066,"1,926"
5067,"1,203"
5068,"1,585"
5069,"1,217"
5070,"1,925"
5071,3
5072,"1,984"
5073,"2,245"
5074,"1,853"
5075,"1,694"
5076,"1,472"
5081,"1,374"
5082,"2,040"
5083,"1,013"
5084,"1,074"
5085,"3,488"
5086,"2,686"
5087,"1,648"
5088,578
5089,"1,101"
5090,"1,468"
5091,"1,290"
5092,"2,898"
5093,"1,582"
5094,275
5095,"3,081"
5096,"2,532"
5097,"2,310"
5098,"2,376"
5106,72
5107,"3,098"
5108,"6,195"
5109,"3,540"
5110,"1,461"
5111,23
5112,"2,593"
5113,"2,170"
5114,"5,648"
5115,"1,443"
5116,"1,735"
5117,848
5118,"3,663"
5120,637
5121,521
5125,"3,450"
5126,"1,159"
5127,"1,400"
5131,219
5132,97
5133,96
5134,91
5136,98
5137,118
5138,64
5139,83
5140,82
5141,172
5142,126
5144,88
5150,20
5151,69
5152,849
5153,"1,473"
5154,459
5155,585
5156,130
5157,709
5158,"4,927"
5159,"6,140"
5160,226
5161,"1,936"
5162,"6,333"
5163,"2,642"
5164,741
5165,744
5166,344
5167,"1,124"
5168,"1,089"
5169,"3,352"
5170,274
5171,"1,563"
5172,"1,073"
5173,"2,735"
5174,680
5175,1
5201,488
5202,222
5203,338
5204,"1,223"
5207,1
5210,468
5211,"4,718"
5212,783
5213,451
5214,"3,069"
5220,35
5221,121
5222,243
5223,681
5231,267
5232,91
5233,301
5234,300
5235,613
5236,66
5237,84
5238,"1,397"
5240,132
5241,470
5242,333
5243,181
5244,904
5245,609
5250,675
5251,"3,129"
5252,"1,200"
5253,"3,607"
5254,707
5255,"2,234"
5256,466
5259,339
5260,389
5261,59
5262,55
5263,33
5264,300
5265,71
5266,126
5267,358
5268,650
5269,37
5270,131
5271,"1,104"
5272,119
5273,13
5275,510
5276,324
