postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2609, ACT",120,14,0,75,6,0,4,49,16,281
"2612, ACT",692,441,0,437,19,5,13,70,160,1832
"2614, ACT",2193,1911,7,1116,40,7,22,206,398,5899
"2615, ACT",3919,6489,16,2498,78,8,46,654,833,14543
"2617, ACT",2572,2549,4,1310,53,0,15,369,455,7332
"2900, ACT",24,7,0,21,0,0,0,0,3,63
"2902, ACT",1765,1969,6,816,31,3,15,247,331,5188
"2903, ACT",1132,1287,3,550,15,0,5,130,203,3326
"2904, ACT",1571,1876,0,546,22,6,13,150,237,4418
"2905, ACT",2382,4448,3,1690,39,7,19,406,457,9444
"2906, ACT",1094,2702,4,697,13,0,6,202,241,4973
"2911, ACT",114,640,0,221,0,0,4,37,49,1067
"2912, ACT",163,371,0,277,0,0,0,41,39,893
"2913, ACT",1996,4180,0,1525,37,0,18,361,433,8555
"2914, ACT",796,3339,9,1303,24,6,16,229,309,6023
"2899, OT",277,234,0,170,40,3,9,64,250,1042
"6798, OT",67,44,0,76,14,0,0,15,38,254
"6799, OT",12,3,0,66,10,15,14,12,20,165
0872 crosses NT/SA/WA,87,13,0,1797,383,4,105,514,805,3713
2406 crosses NSW/QLD,83,54,0,86,35,0,3,47,109,423
2540 crosses NSW/OT,7134,4657,12,3073,138,69,88,1078,6991,23244
2611 crosses ACT/NSW,2913,3495,12,1221,34,16,33,359,556,8635
2618 crosses ACT/NSW,191,167,0,57,21,0,5,38,43,520
2620 crosses NSW/ACT,3222,4307,8,1615,77,21,33,741,793,10813
3644 crosses VIC/NSW,1311,952,3,636,47,6,12,309,366,3637
3691 crosses VIC/NSW,1010,1353,0,503,40,21,12,167,346,3451
3707 crosses VIC/NSW,307,177,0,164,20,0,4,74,162,905
4375 crosses QLD/NSW,39,29,0,17,3,0,0,4,23,113
4377 crosses QLD/NSW,87,71,0,29,8,0,3,11,33,244
4380 crosses QLD/NSW,1254,784,3,623,39,9,14,201,463,3373
4383 crosses QLD/NSW,111,68,4,61,0,0,0,26,56,323
4385 crosses QLD/NSW,227,99,6,94,16,6,3,41,101,596
4825 crosses QLD/NT,916,1923,3,1698,147,6,26,613,702,6030
