,0
1255,3832
1256,3833
1257,3835
1258,3840
1259,3842
1260,3844
1261,3847
1262,3850
1263,3851
1264,3852
1265,3854
1266,3856
1267,3857
1268,3858
1269,3859
1270,3860
1271,3862
1272,3864
1273,3865
1274,3869
1275,3870
1276,3871
1277,3873
1278,3874
1279,3875
1280,3878
1281,3880
1282,3882
1283,3885
1284,3886
1285,3887
1286,3888
1287,3889
1288,3890
1289,3891
1290,3892
1291,3893
1292,3895
1293,3896
1294,3898
1295,3900
1296,3902
1297,3903
1298,3904
1299,3909
1300,3910
1301,3911
1302,3912
1303,3913
1304,3915
1305,3916
1306,3918
1307,3919
1308,3921
1309,3922
1310,3923
1311,3925
1312,3926
1313,3927
1314,3928
1315,3929
1316,3930
1317,3931
1318,3933
1319,3934
1320,3936
1321,3937
1322,3938
1323,3939
1324,3940
1325,3941
1326,3942
1327,3943
1328,3944
1329,3945
1330,3946
1331,3950
1332,3951
1333,3953
1334,3954
1335,3956
1336,3957
1337,3958
1338,3959
1339,3960
1340,3962
1341,3964
1342,3965
1343,3966
1344,3967
1345,3971
1346,3975
1347,3976
1348,3977
1349,3978
1350,3979
1351,3980
1352,3981
1353,3984
1354,3987
1355,3988
1356,3990
1357,3991
1358,3992
1359,3995
1360,3996
1361,4000
1362,4005
1363,4006
1364,4007
1365,4008
1366,4009
1367,4010
1368,4011
1369,4012
1370,4013
1371,4014
1372,4017
1373,4018
1374,4019
1375,4020
1376,4021
1377,4022
1378,4025
1379,4030
1380,4031
1381,4032
1382,4034
1383,4035
1384,4036
1385,4037
1386,4051
1387,4053
1388,4054
1389,4055
1390,4059
1391,4060
1392,4061
1393,4064
1394,4065
1395,4066
1396,4067
1397,4068
1398,4069
1399,4070
1400,4073
1401,4074
1402,4075
1403,4076
1404,4077
1405,4078
1406,4101
1407,4102
1408,4103
1409,4104
1410,4105
1411,4106
1412,4107
1413,4108
1414,4109
1415,4110
1416,4111
1417,4112
1418,4113
1419,4114
1420,4115
1421,4116
1422,4117
1423,4118
1424,4119
1425,4120
1426,4121
1427,4122
1428,4123
1429,4124
1430,4125
1431,4127
1432,4128
1433,4129
1434,4130
1435,4131
1436,4132
1437,4133
1438,4151
1439,4152
1440,4153
1441,4154
1442,4155
1443,4156
1444,4157
1445,4158
1446,4159
1447,4160
1448,4161
1449,4163
1450,4164
1451,4165
1452,4169
1453,4170
1454,4171
1455,4172
1456,4173
1457,4174
1458,4178
1459,4179
1460,4183
1461,4184
1462,4205
1463,4207
1464,4208
1465,4209
1466,4210
1467,4211
1468,4212
1469,4213
1470,4214
1471,4215
1472,4216
1473,4217
1474,4218
1475,4220
1476,4221
1477,4223
1478,4224
1479,4225
1480,4226
1481,4227
1482,4228
1483,4230
1484,4270
1485,4271
1486,4272
1487,4275
1488,4280
1489,4285
1490,4287
1491,4300
1492,4301
1493,4303
1494,4304
1495,4305
1496,4306
1497,4307
1498,4309
1499,4310
1500,4311
1501,4312
1502,4313
1503,4340
1504,4341
1505,4342
1506,4343
1507,4344
1508,4345
1509,4346
1510,4347
1511,4350
1512,4352
1513,4353
1514,4354
1515,4355
1516,4356
1517,4357
1518,4358
1519,4359
1520,4360
1521,4361
1522,4362
1523,4363
1524,4364
1525,4365
1526,4370
1527,4371
1528,4372
1529,4373
1530,4374
1531,4375
1532,4376
1533,4377
1534,4378
1535,4380
1536,4381
1537,4382
1538,4383
1539,4384
1540,4385
1541,4387
1542,4388
1543,4390
1544,4400
1545,4401
1546,4402
1547,4403
1548,4404
1549,4405
1550,4406
1551,4407
1552,4408
1553,4410
1554,4411
1555,4412
1556,4413
1557,4415
1558,4416
1559,4417
1560,4418
1561,4419
1562,4420
1563,4421
1564,4422
1565,4423
1566,4424
1567,4425
1568,4426
1569,4427
1570,4428
1571,4454
1572,4455
1573,4461
1574,4462
1575,4465
1576,4467
1577,4468
1578,4470
1579,4472
1580,4474
1581,4475
1582,4477
1583,4478
1584,4479
1585,4480
1586,4481
1587,4482
1588,4486
1589,4487
1590,4488
1591,4489
1592,4490
1593,4491
1594,4492
1595,4493
1596,4494
1597,4496
1598,4497
1599,4498
1600,4500
1601,4501
1602,4502
1603,4503
1604,4504
1605,4505
1606,4506
1607,4507
1608,4508
1609,4509
1610,4510
1611,4511
1612,4512
1613,4514
1614,4515
1615,4516
1616,4517
1617,4518
1618,4519
1619,4520
1620,4521
1621,4550
1622,4551
1623,4552
1624,4553
1625,4554
1626,4555
1627,4556
1628,4557
1629,4558
1630,4559
1631,4560
1632,4561
1633,4562
1634,4563
1635,4564
1636,4565
1637,4566
1638,4567
1639,4568
1640,4569
1641,4570
1642,4571
1643,4572
1644,4573
1645,4574
1646,4575
1647,4580
1648,4581
1649,4600
1650,4601
1651,4605
1652,4606
1653,4608
1654,4610
1655,4611
1656,4612
1657,4613
1658,4614
1659,4615
1660,4620
1661,4621
1662,4625
1663,4626
1664,4627
1665,4630
1666,4650
1667,4655
1668,4659
1669,4660
1670,4662
1671,4670
1672,4671
1673,4673
1674,4674
1675,4676
1676,4677
1677,4678
1678,4680
1679,4694
1680,4695
1681,4697
1682,4699
1683,4700
1684,4701
1685,4702
1686,4703
1687,4704
1688,4705
1689,4706
1690,4707
1691,4709
1692,4710
1693,4711
1694,4712
1695,4713
1696,4714
1697,4715
1698,4716
1699,4717
1700,4718
1701,4719
1702,4720
1703,4721
1704,4722
