postcode,outright,mortgage,rent
3041,1605,1389,608
3042,2413,1902,1328
3043,2482,2191,1597
3044,3251,3178,2658
3045,0,0,0
3046,3978,3509,3432
3047,1543,1474,1913
3048,1340,1941,1528
3049,1099,1343,528
3051,457,464,1011
3052,238,162,327
3053,330,202,713
3054,916,521,1124
3055,1253,1080,1169
3056,2084,1791,2680
3057,928,732,1215
3058,3909,3667,3328
3059,1581,2371,388
3060,1812,1193,1250
3061,601,459,252
3062,0,0,0
3063,65,77,23
3064,3297,11720,5063
3065,518,432,793
3066,234,322,555
3067,386,457,537
3068,1693,1455,1925
3070,2655,2317,2264
3071,1841,1725,1733
3072,3413,3076,3498
3073,6260,4745,6322
3074,3074,1638,1615
3075,3025,2108,1616
3076,2419,4489,2760
3078,1183,1080,851
3079,2052,1634,997
3081,1144,1270,2049
3082,3576,3765,1950
3083,3721,3173,2404
3084,3715,2838,1487
3085,1761,1824,1134
3087,1309,1242,742
3088,3651,4027,1547
3089,1299,1996,400
3090,261,367,30
3091,224,198,29
3093,575,526,189
3094,1256,1420,577
3095,3554,4202,838
3096,235,296,33
3097,168,201,30
3099,610,805,165
3101,2926,2089,1465
3102,888,724,391
3103,2304,1389,1060
3104,3103,2107,1186
3105,1976,936,643
3106,2634,1843,686
3107,2295,1492,767
3108,3162,1684,1585
3109,4044,2800,1805
3111,1797,1474,647
3113,1084,1315,186
3114,523,531,46
3115,466,601,75
3116,1269,1552,439
3121,1974,1913,2658
3122,1748,1210,851
3123,1317,1017,676
3124,2880,2093,1228
3125,1594,1277,1513
3126,1134,807,446
3127,2519,2036,1216
3128,1683,1619,1851
3129,2331,1880,1518
3130,4460,3838,2288
3131,2881,2766,2179
3132,2012,2134,1498
3133,3397,2821,1155
3134,3789,4312,2862
3135,2501,2776,1704
3136,5418,6582,3577
3137,1643,2230,907
3138,2374,3466,1399
3139,1489,2482,460
3140,1882,2601,1161
3141,1008,587,950
3142,1458,752,477
3143,890,532,396
3144,1427,859,414
3145,2721,2256,1473
3146,3071,2482,1290
3147,1596,1494,1129
3148,804,848,1012
3149,4412,2788,1843
3150,9131,5542,3929
3151,1622,963,889
3152,4312,4101,2238
3153,2038,2978,1888
3154,499,779,147
3155,2697,3292,2148
3156,4327,6048,2147
3158,762,1270,235
3159,269,486,56
3160,978,1721,328
3161,1699,1179,895
3162,2214,1769,1186
3163,3108,2812,2451
3165,3264,3222,1684
3166,2561,2372,2170
3167,1332,1095,666
3168,1285,1031,2849
3169,2497,1701,1953
3170,2517,2369,1376
3171,2095,1428,2140
3172,2995,2750,1280
3173,2461,3639,1278
3174,3546,3268,3674
3175,4555,4129,5471
3177,933,1095,1392
3178,3497,5239,1515
3179,678,870,391
3180,989,1013,574
3181,1174,977,1299
3182,666,674,633
3183,919,950,719
3184,766,747,399
3185,1232,1070,627
3186,3266,2081,1345
3187,2211,1856,1060
3188,2172,1980,1290
3189,713,740,432
3190,1213,1413,900
3191,1318,1038,520
3192,2726,2717,1452
3193,3181,2315,908
3194,1567,1448,1123
3195,3929,4931,1877
3196,2564,3112,1584
3197,1459,1641,843
3198,1828,2323,2067
3199,5975,7011,6410
3200,562,540,941
3201,1461,3431,1974
3202,243,399,182
3204,3508,3236,2043
3205,649,599,871
3206,1368,892,856
3207,1103,1035,1242
3211,182,188,33
3212,1584,2441,1168
3213,473,569,144
3214,2434,2243,3712
3215,3029,2279,2117
3216,7235,7236,5176
3217,383,1236,459
3218,1465,1655,1401
3219,2571,2485,2693
3220,2112,1778,1775
3221,99,110,13
3222,2317,2040,938
3223,1576,669,710
3224,1805,2162,888
3225,940,329,269
3226,2005,1940,1107
3227,736,577,270
3228,2097,2436,1405
3230,496,258,189
3231,256,141,86
3232,187,68,105
3233,343,173,218
3234,37,24,17
3235,49,57,22
3236,48,28,14
3237,43,28,14
3238,33,36,17
3239,74,54,27
3240,283,303,44
3241,368,337,183
3242,132,120,63
3243,72,51,11
3249,515,442,157
3250,1819,1472,1172
3251,91,66,26
3254,36,53,19
3260,821,538,404
3264,336,242,158
3265,322,333,208
3266,491,329,237
3267,28,27,19
3268,391,289,220
3269,74,59,79
3270,54,22,25
3271,43,13,20
3272,282,177,131
3273,22,14,9
3274,37,28,15
3275,48,76,15
3276,67,65,27
3277,212,230,105
3278,36,50,16
3279,33,24,24
3280,4005,3589,3410
3281,185,270,54
3282,305,355,149
3283,183,196,58
3284,597,335,293
3285,191,160,76
3286,112,71,42
3287,56,53,36
3289,142,91,42
3292,49,16,14
3293,66,27,16
3294,175,80,75
3300,1685,1206,946
3301,226,137,56
3302,67,46,21
3303,47,46,23
3304,481,343,178
3305,1793,1593,1143
3309,17,14,5
3310,62,34,16
3311,399,169,126
3312,220,92,58
3314,91,65,33
3315,347,161,114
3317,41,19,24
3318,241,155,109
3319,82,40,26
3321,162,294,39
3322,42,23,14
3323,26,5,5
3324,108,54,36
3325,115,42,38
3328,170,350,40
3329,41,42,15
3330,38,24,13
3331,516,1079,233
3332,97,181,29
3333,115,116,49
3334,90,79,14
3335,274,1147,244
3337,2930,5564,3138
3338,1737,3513,2163
3340,2209,3236,1580
3341,185,316,33
3342,442,558,179
3345,145,211,29
3350,6923,7217,6854
3351,1172,1322,212
3352,1972,2487,530
3355,1849,1219,1753
3356,1753,2158,2205
3357,519,504,180
3360,157,112,43
3361,137,74,38
3363,371,363,204
3364,373,292,71
3370,331,252,99
3371,200,140,46
3373,444,271,137
3374,73,60,15
3375,42,14,17
3377,1374,1036,818
3378,28,11,10
3379,165,52,58
3380,1013,668,540
3381,189,134,91
3384,117,62,25
3385,97,55,27
3387,78,22,11
3388,120,56,27
3390,184,104,67
3391,40,8,3
3392,136,56,22
3393,527,277,163
3395,83,36,19
3396,174,59,52
3400,1989,1860,1514
3401,707,586,141
3407,83,44,22
3409,229,91,55
3412,75,29,19
3413,36,19,26
3414,376,201,99
3415,14,3,0
3418,545,275,197
3419,183,77,58
3420,66,10,15
3423,111,36,27
3424,188,77,40
3427,305,494,185
3428,84,81,17
3429,3614,5637,2148
3430,39,34,24
3431,490,669,133
3432,31,29,3
3433,25,38,9
3434,511,860,207
3435,380,464,138
3437,1152,1655,527
3438,268,385,89
3440,266,305,60
3441,191,224,45
3442,979,1130,377
3444,1341,1246,619
3446,138,181,45
3447,74,82,13
3448,162,150,27
3450,1290,778,719
3451,788,760,273
3453,268,259,64
3458,336,274,91
3460,488,279,300
3461,742,609,225
3462,222,186,51
3463,559,330,124
3464,178,164,52
3465,1737,1085,997
3467,245,139,89
3468,69,28,16
3469,76,25,16
3472,328,169,74
3475,95,31,25
3477,208,78,37
3478,521,304,208
3480,360,161,126
3482,39,11,10
3483,176,82,48
3485,77,32,18
3487,15,4,9
3488,35,9,5
3489,8,6,7
3490,269,121,85
3491,39,0,8
3494,57,55,85
3496,735,798,455
3498,665,773,285
3500,3429,3558,3904
3501,228,302,77
3505,562,718,274
3506,5,6,0
3507,38,9,9
3509,67,15,10
3512,101,24,23
3515,178,325,84
3516,121,83,35
3517,255,151,91
3518,297,127,55
3520,48,16,11
3521,76,118,23
3522,45,50,8
3523,710,465,210
3525,307,140,92
3527,192,61,48
3529,23,9,0
3530,39,11,8
3531,46,14,9
3533,155,71,43
3537,203,100,66
3540,75,23,9
3542,41,9,7
3544,49,28,14
3546,84,31,35
3549,368,245,365
3550,5191,4239,5868
3551,3097,4973,1231
3555,2542,2501,2198
3556,1551,1660,1539
3557,104,119,41
3558,181,110,61
3559,103,60,33
3561,744,522,306
3562,37,30,16
3563,119,105,60
3564,2073,1906,1612
3565,19,14,5
3566,93,58,27
3567,128,54,64
3568,560,323,224
3570,111,134,20
3571,48,33,15
3572,16,18,12
3573,55,24,23
3575,153,68,66
3576,11,9,15
3579,950,547,451
3580,210,118,68
3581,33,9,10
3583,20,27,8
3584,153,153,74
3585,1317,1164,1085
3586,99,108,30
3588,50,55,15
3589,52,39,14
3590,39,55,12
3591,27,28,3
3594,85,51,18
3595,86,74,34
3596,13,6,0
3597,83,30,32
3599,17,4,18
3607,16,14,6
3608,440,260,191
3610,227,177,87
3612,340,226,100
3614,90,155,38
3616,750,664,412
3617,22,18,5
3618,99,105,42
3620,1170,967,549
3621,276,346,134
3622,65,72,22
3623,163,123,38
3624,89,64,58
3629,1022,1146,1013
3630,3360,3195,4084
3631,1429,1615,581
3633,72,87,20
3634,239,285,82
3635,76,88,33
3636,791,636,411
3637,79,83,35
3638,317,248,142
3639,110,51,32
3640,116,145,65
3641,162,176,86
3646,88,79,32
3647,0,0,0
3649,63,50,31
3658,715,1048,364
3659,123,97,29
3660,1004,825,686
3662,0,0,236
3663,22,18,16
3664,170,138,66
3665,69,41,12
3666,923,532,379
3669,272,153,80
3670,104,87,26
3672,1643,1153,1001
3673,308,216,68
3675,268,307,56
3677,2611,2192,2115
3678,1104,808,232
3682,97,87,23
3683,261,276,66
3685,438,359,191
3687,155,160,51
3688,150,216,53
3690,3383,4045,4523
3694,0,0,0
3695,62,69,21
3697,112,65,23
3698,172,97,61
3699,167,107,112
3700,232,157,99
3701,216,116,67
3704,3,4,3
3705,39,30,12
3708,15,5,8
3709,75,32,20
3711,87,70,22
3712,70,32,31
3713,154,95,97
3714,616,414,242
3715,57,39,10
3717,513,301,176
3718,16,6,4
3719,88,43,16
3720,114,71,26
3722,767,565,464
3723,534,320,161
3725,87,88,32
3726,82,51,14
3727,60,32,10
3728,116,74,39
3730,1296,914,692
3732,99,92,27
3733,49,19,23
3735,122,52,46
3737,757,496,380
3738,27,37,21
3739,37,21,20
3740,160,126,93
3741,517,280,280
3744,83,62,21
3746,66,58,13
3747,749,515,311
3749,284,246,113
3750,300,1743,501
3751,46,17,22
3752,1507,4139,1523
3753,133,439,89
3754,1730,7025,2880
3755,42,32,21
3756,765,2132,698
3757,996,1398,397
3758,192,403,47
3759,139,166,23
3760,48,58,17
3761,140,209,26
3762,16,21,7
3763,164,311,48
3764,983,1285,694
3765,755,1100,253
3766,155,258,41
3767,174,219,42
3770,362,509,130
3775,508,604,186
3777,1415,1641,700
3778,33,27,9
3779,86,38,31
3781,353,908,170
3782,945,1359,233
3783,224,402,83
3786,182,282,41
3787,136,184,34
3788,225,305,89
3789,44,41,3
3791,193,271,49
3792,122,175,35
3793,456,532,210
3795,159,156,46
3796,966,1803,338
3797,414,538,190
3799,783,948,393
3802,2788,3359,1358
3803,985,1409,833
3804,843,1184,100
3805,3836,9145,3226
3806,4378,7445,3375
3807,677,1150,314
3808,354,465,43
3809,313,1408,624
3810,3062,7369,4961
3812,258,345,119
3813,111,122,44
3814,269,330,93
3815,329,457,120
3816,296,428,183
3818,1744,1883,1058
3820,1982,2047,1238
3821,420,416,105
3822,129,135,36
3823,293,275,116
3824,688,694,357
3825,3054,2504,1994
3831,245,254,69
3832,45,23,19
3833,75,36,7
3835,74,63,20
3840,2363,1870,1587
3842,611,534,497
3844,3454,4088,2256
3847,308,334,144
3850,1822,1714,1668
3851,880,668,251
3852,5,3,0
3854,198,215,48
3856,111,202,28
3857,55,56,13
3858,457,385,231
3859,115,106,71
3860,1070,958,540
3862,470,487,163
3864,30,37,13
3865,77,69,11
3869,237,231,74
3870,244,179,58
3871,460,395,122
3873,52,42,15
3874,130,62,32
3875,2695,2119,1732
3878,213,129,76
3880,856,358,376
3882,191,147,35
3885,334,259,103
3886,71,44,20
3887,47,37,35
3888,704,307,256
3889,40,16,5
3890,76,17,33
3891,37,6,0
3892,255,115,86
3893,0,4,0
3895,54,16,14
3896,82,35,25
3898,125,87,129
3900,32,13,9
3902,63,46,11
3903,132,90,54
3904,313,158,100
3909,1334,780,697
3910,2178,4000,1396
3911,374,578,168
3912,1572,2488,896
3913,375,591,163
3915,1132,1124,1435
3916,172,94,53
3918,439,641,161
3919,332,540,275
3921,35,10,4
3922,1283,858,785
3923,135,56,28
3925,546,433,299
3926,566,397,165
3927,309,196,97
3928,81,41,22
3929,205,71,61
3930,2484,2603,516
3931,2941,2750,1449
3933,137,142,30
3934,2455,2794,948
3936,1747,1279,1112
3937,273,180,65
3938,562,323,205
3939,2364,1708,1414
3940,835,360,686
3941,1840,1578,1160
3942,548,216,175
3943,456,130,94
3944,129,34,17
3945,168,153,54
3946,34,20,14
3950,685,625,406
3951,177,119,43
3953,1172,917,568
3954,65,62,13
3956,515,350,181
3957,42,41,14
3958,44,32,16
3959,213,136,58
3960,525,227,208
3962,172,124,76
3964,32,21,4
3965,60,20,10
3966,97,65,33
3967,27,11,14
3971,752,425,368
3975,519,2773,650
3976,1569,3641,1937
3977,5515,16365,6107
3978,392,2043,772
3979,48,44,10
3980,336,612,145
3981,468,766,303
3984,844,709,473
3987,156,273,56
3988,157,137,51
3990,22,14,3
3991,59,51,28
3992,143,154,71
3995,1666,1107,1119
3996,1089,516,542
4000,213,209,539
4005,573,521,464
4006,140,202,403
4007,873,834,592
4008,32,32,42
4009,0,0,0
4010,80,134,153
4011,1278,1391,895
4012,1604,2208,1572
4013,348,514,500
4014,1152,1768,1039
4017,3925,5199,2827
4018,1146,1690,1602
4019,1977,2190,2134
4020,2232,2065,2155
4021,1144,1069,1229
4022,572,569,946
4025,31,9,21
4030,994,1369,1109
4031,960,1552,1133
4032,1316,1204,1584
4034,5097,5270,4409
4035,2967,3566,1192
4036,617,1006,583
4037,624,1441,303
4051,2255,2881,2274
4053,4615,5723,4211
4054,1490,1956,1295
4055,2074,3174,1177
4059,628,920,1029
4060,1210,1567,661
4061,2228,2406,859
4064,791,914,1085
4065,1047,1218,618
4066,838,890,772
4067,557,319,550
4068,1892,1546,1403
4069,4542,4612,1523
4070,1078,1916,668
4073,972,1386,552
4074,2858,3542,1592
4075,2342,2850,1910
4076,435,452,687
4077,1885,2534,4301
4078,1739,3666,2713
4101,866,730,1000
4102,367,376,527
4103,877,1177,1341
4104,537,571,522
4105,1101,1509,1193
4106,119,162,207
4107,580,892,600
4108,506,511,804
4109,4423,3122,3349
4110,714,1223,1393
4111,90,91,42
4112,734,986,593
4113,2737,3072,3044
4114,1631,1958,4504
4115,1556,2920,1411
4116,2034,3463,2156
4117,55,193,141
4118,2028,4258,2981
4119,448,915,589
4120,438,679,699
4121,2455,3329,1915
4122,4525,4897,3677
4123,1755,2886,1374
4124,1247,3158,1336
4125,1043,879,311
4127,2243,3387,2807
4128,1325,2681,961
4129,417,982,557
4130,775,1428,347
4131,498,904,1485
4132,990,2531,3355
4133,1281,1942,2080
4151,1032,1358,1007
4152,5130,5560,4070
4153,498,651,274
4154,723,1756,745
4155,195,173,31
4156,348,469,93
4157,2025,2886,1593
4158,369,524,455
4159,1602,1973,1001
4160,2112,2528,1226
4161,1523,2689,1232
4163,1915,1444,1463
4164,1293,2204,1016
4165,3434,5380,2731
4169,397,564,703
4170,1701,2941,2423
4171,1157,1646,1097
4172,310,601,476
4173,899,1227,769
4174,184,417,206
